Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260709,ETF期貨,外資及陸資,10723,5428513,10673,5179792,50,248723,16764,14554453,4418,3165506,12346,11388947,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,ETF期貨,投信,600,641679,600,638184,0,3495,4568,3905571,50,20600,4518,3884971,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,ETF期貨,自營商,6887,3169135,6564,3181814,323,-12679,13543,5220328,42698,24268854,-29155,-19048526,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,半導體30期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,半導體30期貨,自營商,116,92618,105,84220,11,8397,16,12953,34,27480,-18,-14527,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,富櫃200期貨,外資及陸資,12,11803,1,983,11,10821,6,5895,0,0,6,5895,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,富櫃200期貨,投信,0,0,0,0,0,0,29,28493,0,0,29,28493,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,富櫃200期貨,自營商,8,7862,16,15731,-8,-7870,6,5911,30,29475,-24,-23564,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型臺指期貨,外資及陸資,215479,490147200,210993,479980578,4486,10166623,6111,13952620,1831,4191333,4280,9761287,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型臺指期貨,投信,5,11400,0,0,5,11400,128,292241,85,194004,43,98237,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型臺指期貨,自營商,15076,34372421,15718,35851265,-642,-1478844,2592,5954544,11486,26376717,-8894,-20422173,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型金融期貨,外資及陸資,184,144634,188,147641,-4,-3008,1,785,11,8586,-10,-7801,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型金融期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型金融期貨,自營商,45,35431,113,89024,-68,-53593,18,14122,72,56430,-54,-42308,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型電子期貨,外資及陸資,661,964005,656,956975,5,7030,10,14645,41,60053,-31,-45408,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型電子期貨,投信,0,0,0,0,0,0,69,101047,0,0,69,101047,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,小型電子期貨,自營商,192,279768,128,186428,64,93339,205,300212,198,290209,7,10003,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,微型臺指期貨,外資及陸資,278954,126903805,276033,125581949,2921,1321857,14483,6611200,2748,1255093,11735,5356107,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,微型臺指期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,微型臺指期貨,自營商,40843,18661694,30768,14014294,10075,4647401,3567,1653122,55381,25392186,-51814,-23739064,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,東證期貨,外資及陸資,155,123994,79,63142,76,60852,0,0,36,28948,-36,-28948,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,東證期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,東證期貨,自營商,44,35288,113,90541,-69,-55253,0,0,67,53875,-67,-53875,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,櫃買指數期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,櫃買指數期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,櫃買指數期貨,自營商,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國標普500期貨,外資及陸資,2,2998,1,1504,1,1495,23,34706,44,66460,-21,-31754,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國標普500期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國標普500期貨,自營商,0,0,0,0,0,0,0,0,47,70921,-47,-70921,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國費城半導體期貨,外資及陸資,113,112156,69,68972,44,43184,293,296704,251,254173,42,42531,2026-07-12 09:37:53,2026-07-12 09:37:53
